cell_nm	batch_id	batch_name	cond	f_no_digestion	mean_f_fend_dup	max_chrom_cov_abber	f_trans	trans_align	total_contacts	cis_ab_comp	trans_ab_comp	passed_qc	mean_insu	loop_enr_EE	loop_enr_LL	ord	group	f_mitotic_band	f_near_band	far_mu	repli_score
1CDU_443	12	1CDU_2851	1CDU	0.366298329	0.025143731000000002	0.364657175	0.079853705	0.281142782	169247	0.40096570600000003	0.321880963	1	2.596396946	1.086508993	0.7004397179999999	512.0	early-S	0.143360928	0.642389648	27578645.17	1.10092175
1CDU_444	12	1CDU_2851	1CDU	0.369400325	0.031271197	0.33795184100000003	0.094564508	0.276721008	202116	0.377309877	0.160592714	1	2.26821814	0.440996726	1.3923174230000002	1112.0	early-S	0.118822186	0.724355883	26179255.73	1.318436578
1CDU_445	12	1CDU_2851	1CDU	0.364233349	0.029954832999999997	0.306549726	0.09394797199999999	0.29920069899999996	212309	0.349349985	0.258623432	1	2.156443312	0.6934869570000001	1.076815597	1198.0	early-S	0.10400983400000001	0.749236083	30939228.82	1.33141064
1CDU_446	12	1CDU_2851	1CDU	0.34529576	0.031235494	0.421716062	0.09951360000000001	0.20189068100000002	224300	0.568333305	0.491236419	1	2.3292443659999997	0.840976479	0.548436625	1097.0	early-S	0.11854667199999999	0.738009592	24748829.44	1.28356655
1CDU_448	12	1CDU_2851	1CDU	0.363161522	0.024537145	0.194498618	0.054293583	0.29105471899999996	158306	0.364432032	0.208926153	1	2.50746929	0.95491211	1.107640723	320.0	G1	0.139001053	0.610033357	27908878.32	1.066751442
1CDU_452	12	1CDU_2851	1CDU	0.493349172	0.020538268999999998	0.52702517	0.068449547	0.216735592	76655	0.297160703	0.315786206	1	2.372517953	0.684498174	1.7104933830000002	1169.0	early-S	0.107896171	0.745544513	26892808.83	1.318963372
1CDU_453	12	1CDU_2851	1CDU	0.380356973	0.023119782000000002	0.269998217	0.08931614	0.10032761300000001	95078	0.481993257	0.33633271	1	2.624112425	1.06030051	1.169925001	631.0	early-S	0.126504148	0.67844503	31404648.11	1.105730149
1CDU_454	12	1CDU_2851	1CDU	0.353812281	0.028418564	0.3842759	0.074627434	0.331059324	183994	0.345517078	0.18738581699999998	1	2.5152012040000002	0.889817082	0.469485283	298.0	G1	0.144449052	0.630864313	24678827.45	1.065996928
1CDU_455	12	1CDU_2851	1CDU	0.338039871	0.027487253	0.30411629100000004	0.052516926	0.317165888	191424	0.40928187899999996	0.15682173	1	2.453510444	0.652076697	0.953607095	155.0	G1	0.17033654199999998	0.572443231	22643048.65	1.102681704
1CDU_456	12	1CDU_2851	1CDU	0.309056784	0.037239885	0.350958736	0.11022058	0.307042023	288466	0.45062092200000003	0.34121695799999996	1	2.4466609669999997	0.636745043	0.891389502	1213.0	early-S	0.095088076	0.7787686309999999	26440553.49	1.28629515
1CDU_457	12	1CDU_2851	1CDU	0.504933695	0.016002426	0.57804282	0.058473581	0.207002587	38325	0.49311046	0.43991203700000003	1	2.546990115	0.537656786	1.469485283	1066.0	early-S	0.099913043	0.748086957	27595857.74	1.240164882
1CDU_458	12	1CDU_2851	1CDU	0.505711061	0.016677202	0.28312562	0.063265267	0.059866902	52351	0.35186080299999994	0.350234039	1	2.507093741	0.767826558	0.710493383	686.0	early-S	0.130001239	0.702465007	31055172.54	1.1010898390000001
1CDU_463	12	1CDU_2851	1CDU	0.307889576	0.046346133	0.24276090399999997	0.072056429	0.144073095	425596	0.43291356	0.257897167	1	2.57930892	0.9270684779999999	1.1543281459999999	493.0	early-S	0.128740591	0.647553842	32846599.01	1.0753071140000001
1CDU_464	12	1CDU_2851	1CDU	0.382313929	0.030089652	0.35360181	0.067590577	0.384926549	193814	0.570060559	0.287596198	1	2.511094913	0.7325196890000001	1.302028537	218.0	G1	0.15709569199999998	0.619614635	21703790.15	1.082151032
1CDU_465	12	1CDU_2851	1CDU	0.330902278	0.029495378	0.48304159799999996	0.092124321	0.192431938	198840	0.400236346	0.30780422399999996	1	2.584807591	1.0	0.8479969070000001	580.0	early-S	0.12710328099999998	0.6734150109999999	29778492.28	1.08199776
1CDU_466	12	1CDU_2851	1CDU	0.36630438299999996	0.048409926	0.19028493800000001	0.071945749	0.24928904699999999	372488	0.348818697	0.325309681	1	2.3995627859999997	0.597673552	0.670692375	816.0	early-S	0.114813916	0.69816411	28471979.52	1.198924742
1CDU_468	12	1CDU_2851	1CDU	0.37439759	0.009661026999999999	0.234600408	0.093300099	0.166149663	23269	0.249029022	0.246397321	1	2.619466184	0.667424661	1.2954558840000001	763.0	early-S	0.105294971	0.7151837520000001	32070715.65	1.126154314
1CDU_472	12	1CDU_2851	1CDU	0.371418642	0.025379327	0.195588393	0.08445989	0.06301438200000001	164883	0.474666531	0.277068786	1	2.410472635	0.699605067	1.481869008	710.0	early-S	0.11515371199999999	0.719710698	39242062.76	1.086490479
1CDU_473	12	1CDU_2851	1CDU	0.36334256	0.026832956	0.544101124	0.043184885	0.40251228299999997	189696	0.318023787	0.304485524	1	2.4023164009999998	0.515920856	0.432959407	68.0	G1	0.19419242	0.501535772	20181554.46	1.080000311
1CDU_474	12	1CDU_2851	1CDU	0.303522177	0.028273079	0.377927416	0.072399904	0.16329015800000002	224434	0.44461378700000004	0.311559892	1	2.519065552	0.354956895	0.8949179540000001	792.0	early-S	0.11951896	0.717874773	27814659.6	1.139983097
1CDU_475	12	1CDU_2851	1CDU	0.355269293	0.03295044	0.17771809	0.06598494099999999	0.102364416	225506	0.343417707	0.296932824	1	2.225664698	0.684498174	1.192645078	1238.0	early-S	0.097887443	0.7606259740000001	32095677.19	1.336334528
1CDU_476	12	1CDU_2851	1CDU	0.36310777299999997	0.028088269	0.340980086	0.085332412	0.317894858	191088	0.370132625	0.339600819	1	2.613147289	0.7891032179999999	1.0544477840000002	526.0	early-S	0.132772046	0.664229153	27609479.24	1.068103449
1CDU_477	12	1CDU_2851	1CDU	0.37555710600000003	0.019205699	0.326987455	0.06818181799999999	0.10043387699999999	51744	0.35321606299999997	0.25474299899999997	1	2.504783422	1.444099965	1.906890596	545.0	early-S	0.128350266	0.654329947	33873731.83	1.099565438
1CDU_482	12	1CDU_2851	1CDU	0.37759527	0.029988584	0.380026386	0.080747492	0.181846192	184885	0.510721461	0.307605941	1	2.56380658	0.44555944399999997	0.12553088199999998	794.0	early-S	0.11449562	0.716346426	27607602.53	1.143454855
1CDU_483	12	1CDU_2851	1CDU	0.36815570200000003	0.021471101	0.17810904800000002	0.071013928	0.100565324	141085	0.552741199	0.468301422	1	2.54166694	0.786596362	0.5000736029999999	651.0	early-S	0.118347389	0.70081851	35159687.56	1.078618645
1CDU_484	12	1CDU_2851	1CDU	0.367762591	0.027191477999999998	0.36971151799999996	0.098189675	0.21480475	166158	0.383542945	0.233734635	1	2.480336889	0.727702673	0.973527789	847.0	early-S	0.11920224800000001	0.6931895770000001	30971761.25	1.222892082
1CDU_485	12	1CDU_2851	1CDU	0.361089555	0.027673285	0.9309685529999999	0.06301733	0.22871225899999997	203689	0.593979053	0.40541240700000003	1	2.554597256	0.178538132	1.0	699.0	early-S	0.130641158	0.70710551	24581172.91	1.101547071
1CDU_486	12	1CDU_2851	1CDU	0.325799265	0.031562124	0.172355653	0.07823943900000001	0.279223192	301880	0.477829745	0.387118776	1	2.581061412	0.43953206100000003	0.6060241160000001	657.0	early-S	0.113941789	0.6995551059999999	29108372.78	1.087017382
1CDU_487	12	1CDU_2851	1CDU	0.368199945	0.024597739	0.16784549699999998	0.074866965	0.33828609299999995	187733	0.37124923600000004	0.30609979	1	2.577915588	1.046542586	0.91753784	522.0	early-S	0.119569858	0.651710428	31691656.68	1.0927643679999999
1CDU_494	12	1CDU_2851	1CDU	0.349816388	0.026151676000000002	0.302022193	0.073443877	0.15387646800000002	258238	0.472343804	0.43287783399999996	1	2.539124292	0.536288654	1.310102659	441.0	early-S	0.136900138	0.631522787	30639085.69	1.0600288740000001
1CDU_495	12	1CDU_2851	1CDU	0.48838066399999996	0.021196401	0.158506695	0.036578743	0.20239568600000002	51560	0.362193431	0.144945344	1	2.273212843	1.206450877	1.646363045	1563.0	late-S/G2	0.09920436199999999	0.8055416459999999	23401821.09	1.084261788
1CDU_496	12	1CDU_2851	1CDU	0.420347688	0.023062529	0.35549557600000004	0.067470255	0.058993814000000006	166918	0.361992328	0.424642177	1	2.6090075880000003	0.131789873	1.646363045	425.0	G1	0.14109524699999998	0.604605935	37393425.32	1.09325542
1CDU_503	12	1CDU_2851	1CDU	0.32992743399999996	0.022149866	0.522418344	0.065390108	0.282858832	126747	0.428897498	0.41206736200000005	1	2.173084816	0.800691192	1.243925583	1274.0	early-S	0.095348625	0.778378872	26018199.17	1.3393465070000001
1CDU_505	12	1CDU_2851	1CDU	0.453627181	0.015856899	0.37080865399999996	0.070820045	0.12292210199999999	22889	0.5066938520000001	0.327913776	1	2.639024173	1.6674246609999999	1.2954558840000001	560.0	early-S	0.126687847	0.679242785	27080166.77	1.0565988020000001
1CDU_506	12	1CDU_2851	1CDU	0.400684318	0.015313257	0.48977181799999997	0.063487338	0.065206018	50388	0.464362832	0.154757233	1	2.547160721	0.584962501	0.9219974879999999	516.0	early-S	0.139766175	0.654922499	33422974.26	1.08219825
