cell_nm	f_trans	trans_align	cis_ab_comp	mean_insu	f_mitotic_band	f_near_band	far_mu	repli_score
1CDX1_213	0.2985414164268666	0.34775449480534404	0.46433588721260055	0.7865435337986744	0.16271571247402308	0.5951778944584483	0.6367625613475691	0.36035891991621316
1CDX1_214	0.291525235941702	0.6625101976733605	0.3936206125271379	0.765889135942208	0.2931899948879385	0.42856638526370494	0.3401349011282392	0.1072925941888565
1CDX1_215	0.22402648143749213	0.5888637290176431	0.431080617610588	0.7866180161337786	0.2894352975975776	0.3547821428685112	0.3856068824680513	0.14233319322923865
1CDX1_216	0.24220404304505047	0.671683531258703	0.303288429845169	0.6039770242869558	0.4491970264405196	0.15830309983079272	0.27374597494759134	0.2559586376031726
1CDX1_221	0.211732551164771	0.8339159496334047	0.28533382950125	0.6674504200922844	0.36405402693671185	0.24229608469714636	0.3247224693434958	0.0984455235929147
1CDX1_222	0.4187171668252059	0.4894336772013406	0.40555615611317614	0.7754952160971582	0.278066084941452	0.38774862793827847	0.5586635070299641	0.11954649453634625
1CDX1_223	0.31673828430239737	0.5238605204791191	0.3269587407584799	0.7352597184945742	0.2509135226546618	0.4226145298209827	0.5042882884467359	0.15669068440095835
1CDX1_224	0.41467810804313177	0.3235859218133224	0.30452204989322457	0.8138219739320087	0.2012199878227469	0.4809781938337856	0.7149285433568192	0.12442552387846195
1CDX1_226	0.6358309601706009	0.3338935729515829	0.4099839029302227	0.7247030477690648	0.28845904298532077	0.4737489438321636	0.5959068746684619	0.17423008427642417
1CDX1_232	0.331531836440764	0.7118765485045032	0.16910525345614746	0.7233834832164618	0.27574896331906384	0.4322622993395886	0.37884318612349765	0.149518387820903
1CDX1_233	0.36679842851240574	0.5909611967045796	0.307158782124209	0.7048087663167382	0.2798916800474386	0.39039620954578025	0.41212843533350396	0.12724617024624685
1CDX1_234	0.3541294395342106	0.10332459114318865	0.40416151799455446	0.7233821474445432	0.2274667464701873	0.4215915896076574	0.8294070525280619	0.14538606184413716
1CDX1_235	0.2856891954808217	0.17884027556303778	0.33368587369514197	0.8678851413823065	0.17389704797035208	0.5099619417652179	0.9216063642168351	0.17996720573661484
1CDX1_236	0.552590799587343	0.4496117034362158	0.49234382815098077	0.7317602862529129	0.25907415094871766	0.43551112876313436	0.5100893002633159	0.14776465870530275
1CDX1_242	0.2634627727917773	0.6264171488028547	0.4066767709577234	0.7701400588792293	0.24022502644050062	0.4233155427626849	0.4809337428448974	0.1390226042731788
1CDX1_244	0.38646075435626615	0.7049048863704548	0.3907487449009714	0.818089184841901	0.25899914320944206	0.4534263747337046	0.4477158312438193	0.1275314026052703
1CDX1_245	0.2879681448567327	0.40769452523183664	0.29339478980316736	0.6765812579322206	0.24666746472082998	0.35444520673496416	0.5758908261571603	0.14500288236800607
1CDX1_252	0.1392997595297067	0.8841221987986665	0.17176841440120483	0.5658300912920573	0.3594938198897597	0.20083315673148106	0.36777142713986255	0.11488492640511039
1CDX1_253	0.3550160148973358	0.13683234890806406	0.3258326774401533	0.7556957790571583	0.18863284369429292	0.4544071673234298	0.9472626056099716	0.12271589214948486
1CDX1_254	0.2731646483566438	0.74570709141542	0.46628011239916933	0.7635766268693227	0.3061832931049614	0.4584422575758522	0.32835186982360887	0.10850553542727992
1CDX1_255	0.2321154951808416	0.7084811869142371	0.1920029768146334	0.6008683521602554	0.37796092482082866	0.1756764715586543	0.3520372137040364	0.15274602091408607
1CDX1_257	0.23121161662831954	0.5660562668903655	0.288871047387369	0.7540726518915306	0.3031851659477869	0.3307476140232768	0.4277738675178131	0.13912060749383182
1CDX1_258	0.3486449322602154	0.42699533755911195	0.4371046467034997	0.6560896338639346	0.18789915928632042	0.546398584366286	0.702659244880483	0.2058087018456014
1CDX1_262	0.2402527745941219	0.3426308994040495	0.34907550013641253	0.711722319500196	0.2003305037101675	0.42285772847658043	0.7617761471630979	0.13251009118992885
1CDX1_263	0.2563971404163906	0.704248898847635	0.40092671210064573	0.5822106101266289	0.2975548202097854	0.3707904867244991	0.423924241151277	0.11765262069913618
1CDX1_264	0.22944539143969736	0.461556533643161	0.25765737997575494	0.723307670483234	0.20317291646881383	0.4753475330098551	0.6704761685284027	0.1288138851554237
1CDX1_265	0.3965793697084541	0.30958916536347664	0.2580397193907265	0.8768154952109688	0.19498823186057587	0.4102451558907705	0.7695382964239901	0.1350422821467414
1CDX1_266	0.3766335727305826	0.5850602543668871	0.3864978878479094	0.8223793456951871	0.25436849229842273	0.5009331280711735	0.5344351711894653	0.18742516415800647
1CDX1_267	0.308767857072587	0.3727228435679642	0.448494822172526	0.5323320000118654	0.02372682656226366	0.9127791170084909	0.6602238522047599	0.4736609312205746
1CDX1_272	0.5310302229467653	0.658645891825572	0.3718317367563337	0.76202551393149	0.1821001065600882	0.5803789614825545	0.6555930570307166	0.14275406654940648
1CDX1_273	0.3285382497159073	0.6460444068764829	0.37587338688124705	0.6282489627239731	0.23931886735915645	0.4930694753217122	0.5202015978488858	0.13765542858484903
1CDX1_274	0.2882215627089959	0.8022173694829143	0.47182068105567854	0.762712982000016	0.25393047875908736	0.4348578645089778	0.45885649576998944	0.13232398218785946
1CDX1_275	0.3691900688159776	0.601014200193774	0.35354207215079453	0.7448528846522746	0.22913361776875954	0.4511551069582844	0.5901001271153556	0.1254012631964727
1CDX1_276	0.4135985765470155	0.21625950479382433	0.31001091108707124	0.8272821652480797	0.17475092627354386	0.5022100003997263	0.807537957722879	0.17032369888430177
